Hour,Forecasted Events
0,40.703080760113124
1,41.80898729015702
2,41.43802604900885
3,41.56245993080239
4,41.52072028465961
5,41.53472127888251
6,41.53002483659454
7,41.53160019401653
8,41.531071761885386
9,41.53124901722651
10,41.53118955934326
11,41.53120950367813
12,41.531202813623395
13,41.531205057710885
14,41.53120430496239
15,41.53120455746159
16,41.53120447276418
17,41.53120450117477
18,41.53120449164483
19,41.53120449484152
20,41.53120449376923
21,41.531204494128914
22,41.531204494008264
23,41.53120449404874
